Paper	Year	DOI	Tool	Databases	Paired end	Read length	Strand specific	Assembler	BUSCO	Other	Figshare
Yadav et al.	2020	https://doi.org/10.1371/journal.pone.0234903	Trinotate	NR, SP, KEGG, COG	Yes	150	No	Trinity	Yes	None	No
Ceschin et al.	2020	https://doi.org/10.1038/s41598-020-57961-4	Annocript	SP, TREMBL, CDD, Rfam, 	Yes	100	No	Trinity	Yes	None	No
Pinosio et al.	2021	https://doi.org/10.1016/j.margen.2020.100792	Blastx + Blast2GO (for GO annotation)	NR arthropoda, KEGG, EC	Yes	150	No	Trinity	Yes	MISA for microsatellite SSR annotation	No
Galachyants et al.	2019	https://doi.org/10.1038/s41597-019-0191-6	Trinotate, Trapid (PLAZA 2.5 DB), Mercator (all DBs except IPS; genome annotator but used here)	NR, SP, KEGG, COG	Yes	125	No	Trinity (via drap)	Yes	None	Yes
Moreno-Santillán et al.	2019	https://doi.org/10.1038/s41598-019-42560-9	Trinotate	SP, Pfam	Yes	101	No	Trinity	Yes	OrthoFinder	No
Chabikwa et al.	2020	https://doi.org/10.1038/s41597-019-0350-9	blastx	UniProt	Yes	125, 150	No	Trinity	Yes	None	Yes
Mahmood et al.	2020	https://doi.org/10.1038/s41598-020-70406-2	OmicsBox (Blast2Go + InterProScan)	Blast2GO default databases	Yes	100	Yes	Trinity	Yes	None	No
Mora-Ortiz et al.	2016	https://doi.org/10.1186/s12864-016-3083-6	Blast2Go	Refseq_protein	Yes	100	No	Trinity	No	MISA for microsatellite SSR annotation	No
Sayadi et al.	2016	https://doi.org/10.1371/journal.pone.0158565	Trinotate + Blast2Go + InterProScan	NR, SP, UniRef90, KEGG, EggNog	Yes	100	No	Trinity	Yes	None	Yes
Lee et al.	2015	https://doi.org/10.1186/s12864-015-2124-x	blast	NT sequences from bats	Yes	125	No	Trinity	No	None	No
Carruthers et al.	2018	https://doi.org/10.1186/s12864-017-4379-x	blastp + PANTHER webserver (for GO)	UniProt, PantherDB	Yes	75	No	Trinity	Yes	OrthoFinder but for QC	No
Asai et al.	2020	https://doi.org/10.3390/md18080392	Blast2GO (Blastx + InterProScan) + KAAS server for KEGG	NR, SP, KEGG	Yes	50	No	Trinity	No	WEGO online tool for plotting GO terms	No
Ayachit et al.	2019	https://doi.org/10.1038/s41598-019-51355-x	Trinotate	UniProt, Pfam, CDD, KOG	Yes	200	No	Trinity	No	MISA + CPC for predicting lncRNA + FunctionAnnotation webserver used in addition to Trinotate	No
Liu et al.	2021	https://doi.org/10.3390/plants10040649	Diamond	NR, NT, Pfam, KEGG, KOG, SP	No	NA	No	None (SMRTseq)	No	MISA + iTAK (plant transcription factor pred) + CNCIv2, Pfam-scan, CPCvcpc-0.9-r2, PLEKv1.2 together for lncRNA prediction via elimination of everything detected by these tools	No
Rosen et al.	2021	https://doi.org/10.3390/insects12010067	Blastx + Blast2GO (for GO annotation)	NR, SP, KEGG, COG	Yes	90	No	Trinity	No	ESTScan + WEGO (for GO visualization)	No
Visser et al.	2018	https://doi.org/10.1186/s12864-018-5015-0	EnTAP	Refseq_complete, UniProt, TAIR10 A. thaliana proteome, EggNOG DB	Yes	125, 150, 250	No	Trinity	Yes	OrthoFinder + PLAZA DB	No
Shah et al.	2019	https://doi.org/10.1186/s12864-019-5756-4	Dammit! + InterProScan + blast	Pfam, Rfam, OrthoDB, UniRef90, InterProScan Dbs, NR	Yes	300 (maximum)	No	Trinity + SOAPdenovo-trns + Oases-Velvet	Yes	BWA and a custom mitochondrial genome for detecting mitochondrial genes	No
Oldach et al.	2018	https://doi.org/10.1016/j.margen.2017.12.007	Dammit! + Sma3S (for functional annotation) + WebMGA (for KOG)	Pfam, Rfam, UniRef90, OrthoDB, KOG, KEGG (via KAAS)	Yes	250	No	Trinity	Yes	None	No
											
											
Key:											
NR – NCBI NR											
SP – Swiss-Prot											
NT – NCBI NT											
